school_name,cca,niche_programmes,sports_achievement_2025,arts_distinction_2024,url_address,postal_code,nature_code,session_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mother_tongue,X,Y,lat,long,school_tier
ADMIRALTY PRIMARY SCHOOL,"WUSHU; TRACK AND FIELD; ROPE SKIPPING; MODULAR CCA (SPORTS); FOOTBALL; MALAY DANCE; INDIAN DANCE; GUITAR ENSEMBLE; CHOIR; CHINESE DANCE; GUZHENG ENSEMBLE; SCOUTS; GIRL GUIDES (BROWNIES); ART AND CRAFTS; INFOCOMM TECHNOLOGY (COMPUTING); PHOTOGRAPHY; ENGLISH LANGUAGE, DRAMA AND DEBATING; DESIGN AND INNOVATION",STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,CHINESE_DANCE; MALAY_DANCE; CHOIR; GUZHENG_ENSEMBLE,https://admiraltypri.moe.edu.sg/,738907,CO-ED SCHOOL,FULL DAY,N,N,N,N,CHINESEMALAYTAMIL,24296.6250855923,47144.7700594738,1.4426347903311,103.800040119743,
AHMAD IBRAHIM PRIMARY SCHOOL,ROPE SKIPPING; BASKETBALL; BADMINTON; FOOTBALL; MALAY DANCE; INDIAN DANCE; CHOIR; CHINESE DANCE; SCOUTS; ROBOTICS; PHOTOGRAPHY; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,CHINESE_DANCE; INDIAN_DANCE,http://www.ahmadibrahimpri.moe.edu.sg,768643,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,27958.1371433474,46096.2627680488,1.43315271543517,103.832942401086,
AI TONG SCHOOL,MODULAR CCA (SPORTS); VOLLEYBALL; TRACK AND FIELD; TABLE TENNIS; WUSHU; BADMINTON; PERCUSSION ENSEMBLE; CHINESE DANCE; GUZHENG ENSEMBLE; ENGLISH DRAMA; CHOIR; SCOUTS; GIRL GUIDES (BROWNIES); ROBOTICS; INFOCOMM TECHNOLOGY (COMPUTING); ART AND CRAFTS; ENVIRONMENTAL SCIENCE,INNOVATION & ENTERPRISE; SPORTS & OUTDOOR EDUCATION,,CHOIR; GUZHENG_ENSEMBLE,http://www.aitong.moe.edu.sg,579646,CO-ED SCHOOL,SINGLE SESSION,Y,N,N,N,CHINESE,27966.8088298785,38071.9191181567,1.3605834338904,103.833020333986,1.0
ALEXANDRA PRIMARY SCHOOL,TRACK AND FIELD; SWIMMING; SOFTBALL; RUGBY; TABLE TENNIS; BASKETBALL; BADMINTON; MODERN DANCE; ENGLISH DRAMA; CHOIR; CHINESE DRUMS; GUITAR ENSEMBLE; SCOUTS; INFOCOMM TECHNOLOGY (COMPUTING); INTERNATIONAL CHESS; ENVIRONMENTAL SCIENCE; CHINESE CULTURE AND LANGUAGE; CHEERLEADING; ART AND CRAFTS,STEM - MATERIAL SCIENCE; COMMUNITY SERVICE & STUDENT LEADERSHIP,,CHOIR,http://alexandrapri.moe.edu.sg,159016,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,27010.1854815315,30414.7169698272,1.29133439161334,103.824424680531,3.0
ANCHOR GREEN PRIMARY SCHOOL,WUSHU; NETBALL; FLOORBALL; BASKETBALL; MODERN DANCE; ENGLISH DRAMA; CHOIR; CHINESE DRUMS; GUZHENG ENSEMBLE; SCOUTS; ROBOTICS; INTERNATIONAL CHESS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENVIRONMENTAL SCIENCE,INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,{'F': ['FLOORBALL']},GUZHENG_ENSEMBLE,http://www.anchorgreenpri.moe.edu.sg,544969,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,33992.4459471293,41365.6329499111,1.39036998654612,103.887165375933,
ANDERSON PRIMARY SCHOOL,VOLLEYBALL; BASKETBALL; BADMINTON; FOOTBALL; GUZHENG ENSEMBLE; INDIAN DANCE; MALAY DANCE; TAP DANCE; GUITAR ENSEMBLE; MODERN DANCE; ENGLISH DRAMA; CULTURAL DANCE; CHINESE DANCE; BRASS BAND; ANGKLUNG/KULINTANG ENSEMBLE; GIRLS' BRIGADE; BOYS' BRIGADE; LION AND DRAGON DANCE; ROBOTICS; ENVIRONMENTAL SCIENCE; ART AND CRAFTS,STEM  - MATERIAL SCIENCE; MUSIC & PERFORMING ARTS,,BRASS_BAND; PERCUSSION_ENSEMBLE; GUZHENG_ENSEMBLE,http://www.andersonpri.moe.edu.sg,569785,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,28900.6627847943,40683.2561488524,1.38419941907925,103.841411716006,3.0
ANG MO KIO PRIMARY SCHOOL,TRACK AND FIELD; TABLE TENNIS; OUTDOOR ADVENTURE; FOOTBALL; BASKETBALL; BADMINTON; BRASS BAND; ENGLISH DRAMA; CHOIR; MODERN DANCE; SCOUTS; RED CROSS YOUTH; PROJECT CABIN; ROBOTICS; INFOCOMM TECHNOLOGY (COMPUTING); ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),LANGUAGES; COMMUNITY SERVICE & STUDENT LEADERSHIP,,INTERNATIONAL_DANCE,http://www.angmokiopri.moe.edu.sg,569920,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,28702.4804675551,39038.1602696702,1.36932176584608,103.839630858752,3.0
ANGLO-CHINESE SCHOOL (JUNIOR),SAILING; MODULAR CCA (SPORTS); OUTDOOR ADVENTURE; ROCKWALL CLIMBING; ROCKWALL CLIMBING (CA020); RUGBY; WATER POLO; SOFTBALL; SQUASH; SWIMMING; TABLE TENNIS; TRACK AND FIELD; WUSHU; KARATE; TAEKWONDO; HOCKEY; TENNIS; ARCHERY; ARTISTIC GYMNASTICS; ARTISTIC SWIMMING; BADMINTON; BASKETBALL; BOWLING; CRICKET; FENCING; FOOTBALL; GOLF; HEALTH AND FITNESS; STRING ENSEMBLE; MODERN DANCE; SINGAPORE NATIONAL YOUTH ORCHESTRA; CHOIR; CONCERT BAND; SCOUTS; BOYS' BRIGADE; PHYSICAL SCIENCE; ART AND CRAFTS; INTERNATIONAL CHESS; FAITH-BASED CCA; CHINESE CULTURE AND LANGUAGE,INTERDISCIPLINARY; SPORTS & OUTDOOR EDUCATION,"{'M': ['RUGBY', 'SWIMMING', 'GOLF', 'TAEKWONDO', 'TENNIS (DOUBLES)', 'TENNIS (DOUBLES)']}",INTERNATIONAL_DANCE; CHOIR,www.acsj.moe.edu.sg,227988,BOYS' SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,28849.3350947062,32406.8353125956,1.30935041274966,103.840950265464,1.0
ANGLO-CHINESE SCHOOL (PRIMARY),RUGBY; SAILING; SWIMMING; TOUCH RUGBY; TAEKWONDO; TENNIS; TRACK AND FIELD; WUSHU; TABLE TENNIS; GOLF; ARTISTIC GYMNASTICS; ARTISTIC SWIMMING; BADMINTON; BASKETBALL; FENCING; FLOORBALL; FOOTBALL; BOWLING; MODERN DANCE; CHOIR; SCOUTS; BOYS' BRIGADE; PHYSICAL SCIENCE; ROBOTICS; INTERNATIONAL CHESS; ART AND CRAFTS; INFOCOMM TECHNOLOGY (COMPUTING); AUDIO VISUAL AID; DEBATING AND PUBLIC SPEAKING,LANGUAGES; SPORTS & OUTDOOR EDUCATION,"{'M': ['BOWLING', 'RUGBY', 'TENNIS (DOUBLES)', 'SWIMMING']}",INTERNATIONAL_DANCE; CHOIR,http://www.acspri.moe.edu.sg/,309918,BOYS' SCHOOL,SINGLE SESSION,N,N,Y,N,CHINESEMALAYTAMIL,28254.9829477305,33404.2340238672,1.31837054523521,103.835609732354,
ANGSANA PRIMARY SCHOOL,WUSHU; NETBALL; FLOORBALL; BADMINTON; FOOTBALL; MODERN DANCE; ENGLISH DRAMA; CONCERT BAND; CHOIR; SCOUTS; RED CROSS YOUTH; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); PHYSICAL SCIENCE; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,,https://angsanapri.moe.edu.sg/,528565,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,39754.5222957945,38406.3864220977,1.36360590588314,103.9389409004,
BEACON PRIMARY SCHOOL,WUSHU; TCHOUKBALL; FOOTBALL; BASKETBALL; NETBALL; UKULELE ENSEMBLE; PERCUSSION ENSEMBLE; CHOIR; MODERN DANCE; SCOUTS; ROBOTICS; ENVIRONMENTAL SCIENCE; DESIGN AND INNOVATION; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,CO_SECTIONAL_ENSEMBLE,https://beaconpri.moe.edu.sg/,679944,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,21357.64699852,40655.688190354,1.38394936211823,103.773632022975,
BEDOK GREEN PRIMARY SCHOOL,RUGBY; FOOTBALL; BASKETBALL; BADMINTON; MALAY DANCE; GUZHENG ENSEMBLE; CHOIR; CHINESE DANCE; ANGKLUNG/KULINTANG ENSEMBLE; ENGLISH DRAMA; SCOUTS; GIRL GUIDES (BROWNIES); INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ART AND CRAFTS,INTERDISCIPLINARY; SPORTS & OUTDOOR EDUCATION,,MALAY_DANCE; GUZHENG_ENSEMBLE,http://www.bedokgreenpri.moe.edu.sg,469317,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,39636.5324891713,33965.6893824711,1.32344593287992,103.937878976352,3.0
BENDEMEER PRIMARY SCHOOL,TRACK AND FIELD; MODULAR CCA (SPORTS); WUSHU; SEPAKTAKRAW; ROPE SKIPPING; FLOORBALL; MALAY DANCE; SINGAPORE NATIONAL YOUTH ORCHESTRA; CONCERT BAND; CHINESE DANCE; INDIAN DANCE; ENVIRONMENTAL SCIENCE; ART AND CRAFTS,STEM - SUSTAINABILITY; MUSIC & PERFORMING ARTS,"{'M': ['ROPE SKIPPING', 'SEPAKTAKRAW']}",CHINESE_DANCE; CONCERT_BAND,http://www.bendemeerpri.moe.edu.sg/,339948,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,31570.8074810533,33784.8514976725,1.32181250780475,103.865404167629,
BLANGAH RISE PRIMARY SCHOOL,BASKETBALL; BADMINTON; FOOTBALL; MODERN DANCE; CHOIR; SCOUTS; RED CROSS YOUTH; PHYSICAL SCIENCE; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ART AND CRAFTS,STEM - MATERIAL SCIENCE; COMMUNITY SERVICE & STUDENT LEADERSHIP,,,http://www.blangahrisepri.moe.edu.sg/,109100,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,25252.1938973861,28732.4526119996,1.27612047924037,103.808628535239,
